R1_C00000151,R1_C11061000,R1_C13001000,R1_KC2000025,R2_KC2000025,R1_KC2000033,R2_KC2000033,R1_L00000001,R1_L12000001,R1_L22001300,R1_LA0099107,R1_LS0000012,R1_LS0000026,R1_LS0000466,R1_L2A000105,R1_LC0027002,R1_LRZ000203,R1_GRD_NK0200_000,R1_GRD_RK0200_001,R1_GRD_PD0100_000,R1_GRD_PD2400_000,R1_GRD_rk1100_000,bad
2,1,1,2,1,2,0,2,1,1,2,2,0,1,2,2,1,1,1,0,2,0,0
0,1,1,2,1,2,0,2,2,0,2,2,0,1,2,2,1,1,1,0,2,3,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,0,0
2,1,1,2,1,2,0,2,2,1,2,2,0,1,0,2,1,1,1,0,2,2,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,1,1,1,2,2,0,1,0,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,0,1,1,1,0,2,2,0
2,1,1,2,1,2,0,2,2,2,2,2,0,1,0,2,1,1,1,0,2,2,0
1,0,1,2,1,2,0,1,2,1,2,2,0,1,0,2,1,1,1,0,2,0,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,1,0,2,2,0
2,0,1,2,1,2,0,1,2,0,2,2,0,1,2,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,1,1,1,2,2,0,1,0,2,1,1,1,0,1,2,0
1,0,1,2,1,2,0,2,1,2,2,2,0,1,1,2,2,1,1,0,2,1,0
1,1,1,2,1,2,0,2,1,2,2,2,0,1,0,2,1,1,1,0,1,2,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,1,0,2,2,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,3,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,0,1,1,1,0,2,2,0
2,1,1,2,1,0,0,1,1,1,2,2,0,1,2,2,1,1,1,0,1,2,0
2,1,1,2,1,2,0,1,1,1,2,2,0,1,2,2,1,1,2,0,2,2,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,2,0
2,1,1,2,1,2,0,1,1,1,2,2,0,1,0,2,1,1,1,0,2,3,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,1,1,1,2,2,0,1,2,2,1,0,1,0,2,0,0
1,0,1,2,1,2,0,1,1,1,2,2,0,1,0,2,1,1,1,0,1,2,0
2,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,3,0
1,1,1,2,1,2,0,1,1,1,2,2,0,1,0,2,1,1,1,0,1,0,0
2,1,1,2,1,2,0,2,2,2,2,2,0,1,0,3,1,1,1,0,2,2,0
1,1,1,2,1,2,0,1,1,0,2,2,0,1,2,2,1,1,1,0,2,2,0
0,1,1,2,1,2,0,1,2,1,2,2,0,1,1,1,1,1,1,0,2,1,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,1,0,2,2,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,1,0,2,2,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,2,0,2,2,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,2,1
2,0,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,2,0,2,0,0
1,1,1,2,1,2,0,2,2,1,0,2,0,1,2,2,1,1,1,0,2,0,0
1,1,1,2,1,2,0,1,2,1,2,2,0,1,2,2,0,1,1,0,2,0,0
1,1,1,2,1,2,0,2,2,1,2,2,0,1,1,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,1,2,2,2,0,1,1,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,0,0
2,0,1,2,1,2,0,2,1,1,2,2,0,1,2,2,1,1,1,0,2,0,0
0,1,1,2,1,2,0,2,2,2,2,2,0,1,2,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,2,1,2,2,0,1,0,2,1,1,1,0,2,0,0
1,1,1,2,1,2,0,1,1,1,2,2,0,1,0,2,1,1,1,0,2,2,0
0,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,2,0
1,0,1,2,1,2,0,2,2,1,2,2,0,1,1,3,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,2,0,2,2,0
2,0,1,2,1,2,0,2,1,2,2,2,0,1,0,2,1,1,1,0,2,3,0
0,1,1,2,1,2,0,2,2,2,2,2,0,1,2,1,1,1,2,0,2,3,0
1,1,1,2,1,2,0,2,1,2,2,2,0,1,2,2,1,1,1,0,2,2,0
2,1,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,1,0
1,0,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,1,2,2,2,0,1,1,0,1,1,1,0,2,2,0
2,1,1,2,1,2,0,1,1,1,2,2,0,1,0,2,1,1,1,0,2,0,0
1,1,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,2,0,2,0,0
2,1,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,2,1,2,2,0,1,2,2,1,1,1,0,2,2,0
1,1,1,2,1,2,0,2,0,1,2,2,0,1,2,2,1,1,2,0,2,3,0
1,1,1,2,1,2,0,1,1,1,2,1,0,1,0,2,1,1,1,0,2,3,0
2,1,1,2,1,2,0,2,1,2,2,2,0,1,1,3,1,1,1,0,2,2,0
1,1,1,1,1,2,0,2,2,1,2,2,0,1,2,2,1,1,1,0,1,2,0
2,1,1,2,1,2,0,2,2,2,2,2,0,1,1,1,1,1,1,0,2,0,0
2,0,1,2,1,2,0,2,2,2,2,2,0,1,1,2,1,1,1,0,2,1,0
2,0,1,2,1,2,0,2,2,2,2,2,0,1,1,3,1,1,1,0,2,3,0
1,1,1,2,1,2,0,1,1,1,2,2,0,1,0,2,2,1,1,0,1,0,0
1,1,1,2,1,2,0,1,2,2,2,2,0,1,1,2,1,1,1,0,2,3,0
1,1,1,2,1,2,0,1,2,1,2,2,0,1,2,2,1,1,1,0,2,0,0
